category,sub_category,brand,model,material,color,quality,flag,pop1,pop2,time_online,sold,price
2.0,21.0,63.0,,8.0,4.0,2.0,1,6,64,10,1,2434.14
2.0,9.0,377.0,,66.0,15.0,2.0,0,0,28,7,1,1833.54
2.0,21.0,499.0,,66.0,15.0,2.0,0,2,42,5,1,2581.95
2.0,45.0,499.0,,25.0,21.0,2.0,0,5,19,429,0,2048.04
2.0,42.0,541.0,,8.0,24.0,2.0,0,5,55,96,1,789.64
2.0,11.0,512.0,,47.0,15.0,1.0,0,11,103,573,0,2076.64
4.0,4.0,1000.0,,24.0,21.0,2.0,0,4,30,16,1,1218.64
4.0,28.0,130.0,,7.0,1.0,2.0,0,1,19,502,0,1433.14
2.0,52.0,488.0,,39.0,3.0,2.0,0,3,9,1,1,718.14
3.0,12.0,959.0,,11.0,22.0,2.0,0,5,30,406,0,1290.14
2.0,56.0,466.0,,61.0,4.0,2.0,0,9,61,4,1,3233.52
2.0,11.0,905.0,,8.0,19.0,2.0,0,1,16,620,0,1621.34
4.0,0.0,633.0,,24.0,11.0,2.0,0,12,72,526,0,6080.64
4.0,6.0,1000.0,,55.0,1.0,2.0,0,4,31,3,1,1576.14
4.0,20.0,685.0,,24.0,22.0,1.0,0,2,20,726,0,1576.14
2.0,22.0,823.0,,8.0,3.0,2.0,0,8,60,210,1,3292.14
0.0,5.0,784.0,,24.0,15.0,0.0,0,4,49,27,1,646.64
4.0,39.0,99.0,,24.0,17.0,2.0,0,8,80,14,1,3506.64
3.0,12.0,475.0,,37.0,19.0,2.0,1,25,165,6,1,1617.72
0.0,48.0,943.0,,28.0,6.0,2.0,0,4,16,181,1,846.84
4.0,6.0,950.0,,55.0,12.0,2.0,0,26,76,378,0,7793.2
0.0,5.0,291.0,,24.0,3.0,2.0,0,3,32,1,1,1433.14
4.0,53.0,830.0,,7.0,15.0,2.0,1,46,446,63,1,3935.64
2.0,56.0,465.0,,66.0,3.0,2.0,0,1,40,265,1,2255.39
2.0,50.0,229.0,,8.0,24.0,2.0,1,14,152,7,1,1218.64
2.0,52.0,530.0,,8.0,24.0,2.0,0,13,89,59,1,460.74
1.0,17.0,615.0,,24.0,6.0,1.0,0,7,26,556,0,1633.34
2.0,43.0,1031.0,,12.0,4.0,2.0,0,1,13,85,1,718.14
2.0,52.0,1048.0,,8.0,3.0,1.0,0,3,51,508,0,1504.64
4.0,20.0,465.0,,55.0,3.0,2.0,0,3,19,2,1,2219.64
2.0,9.0,100.0,,43.0,0.0,2.0,0,10,239,523,0,17163.14
2.0,45.0,466.0,,61.0,11.0,2.0,0,20,124,252,1,1218.64
3.0,38.0,115.0,,28.0,10.0,2.0,0,4,68,14,1,1433.14
1.0,8.0,498.0,76.0,24.0,3.0,2.0,0,14,179,7,1,4291.64
4.0,6.0,907.0,,55.0,3.0,2.0,0,2,51,11,1,3077.64
4.0,20.0,644.0,,7.0,25.0,2.0,0,3,21,702,0,1862.14
0.0,44.0,341.0,,47.0,20.0,2.0,0,9,65,540,0,1147.14
4.0,6.0,466.0,,55.0,3.0,1.0,0,4,109,193,1,2438.72
2.0,11.0,685.0,,8.0,23.0,1.0,0,1,39,5,1,975.54
0.0,48.0,472.0,,28.0,12.0,2.0,0,4,51,82,1,406.32
2.0,56.0,512.0,,24.0,3.0,1.0,0,4,59,40,1,963.73
2.0,11.0,495.0,,47.0,11.0,2.0,0,4,33,0,1,10728.14
2.0,21.0,988.0,,8.0,4.0,2.0,0,12,64,259,1,1806.3
2.0,26.0,667.0,,66.0,16.0,2.0,0,17,102,143,1,1004.14
2.0,56.0,341.0,,56.0,24.0,2.0,0,9,57,112,1,1719.14
2.0,11.0,510.0,,8.0,15.0,1.0,0,2,23,390,0,1617.14
4.0,39.0,863.0,,62.0,7.0,2.0,0,8,42,137,1,2834.54
2.0,45.0,685.0,,66.0,1.0,2.0,0,3,29,681,0,861.14
4.0,0.0,466.0,,55.0,3.0,2.0,0,18,107,281,1,2291.14
2.0,29.0,271.0,,24.0,3.0,2.0,0,7,57,437,0,3000.77
1.0,17.0,498.0,39.0,24.0,19.0,1.0,0,9,178,7,1,4327.62
0.0,40.0,49.0,,47.0,19.0,2.0,0,6,66,350,1,1064.94
2.0,11.0,354.0,,8.0,15.0,1.0,0,14,87,684,0,2148.14
2.0,21.0,715.0,,8.0,18.0,1.0,0,4,115,172,1,904.04
1.0,8.0,498.0,168.0,24.0,18.0,2.0,0,3,82,216,1,2600.22
4.0,20.0,903.0,,24.0,1.0,2.0,0,3,22,225,1,689.54
1.0,17.0,498.0,39.0,24.0,3.0,0.0,0,0,89,0,1,4650.64
2.0,52.0,817.0,,56.0,24.0,2.0,0,9,37,477,0,1719.14
2.0,11.0,49.0,,61.0,16.0,2.0,0,6,40,699,0,1490.41
2.0,52.0,557.0,,23.0,3.0,2.0,0,9,74,575,1,2076.64
4.0,0.0,16.0,,40.0,0.0,2.0,0,10,84,313,1,1418.84
2.0,22.0,16.0,,8.0,12.0,2.0,0,2,34,726,0,1147.14
1.0,17.0,932.0,,8.0,3.0,2.0,0,5,62,149,1,703.84
4.0,0.0,878.0,,24.0,3.0,2.0,0,1,9,20,1,2570.32
2.0,11.0,271.0,,47.0,15.0,2.0,0,2,36,696,0,2531.43
0.0,18.0,863.0,,66.0,1.0,2.0,0,8,32,488,0,1361.64
2.0,42.0,289.0,,8.0,11.0,2.0,0,7,75,0,1,3500.79
2.0,43.0,49.0,,8.0,13.0,2.0,0,0,10,514,0,718.14
4.0,6.0,466.0,,24.0,3.0,2.0,0,2,84,31,1,4007.14
1.0,3.0,633.0,,24.0,22.0,2.0,1,11,88,402,0,14274.54
4.0,39.0,907.0,,24.0,1.0,2.0,0,3,20,8,1,2863.14
2.0,42.0,47.0,,8.0,4.0,2.0,0,6,63,601,0,1553.67
2.0,26.0,541.0,,8.0,12.0,2.0,0,4,37,1,1,1647.64
2.0,56.0,796.0,,39.0,3.0,2.0,0,0,37,10,1,3006.14
2.0,52.0,341.0,,47.0,18.0,1.0,0,5,45,260,1,517.94
4.0,53.0,196.0,,24.0,1.0,2.0,0,2,11,720,0,1704.84
2.0,29.0,291.0,,39.0,18.0,2.0,0,6,39,18,1,2005.14
1.0,17.0,844.0,,24.0,4.0,1.0,0,7,102,418,0,2332.7
2.0,11.0,1048.0,,56.0,21.0,0.0,0,1,44,0,1,1932.64
2.0,52.0,318.0,,39.0,3.0,2.0,0,7,33,405,0,1983.24
2.0,52.0,1051.0,,8.0,24.0,2.0,0,10,54,641,0,1719.14
2.0,27.0,63.0,,39.0,4.0,2.0,0,15,106,210,1,932.64
4.0,14.0,1000.0,,55.0,3.0,2.0,0,22,220,527,0,3506.64
1.0,17.0,2.0,157.0,24.0,3.0,2.0,0,12,113,401,0,8154.14
2.0,11.0,16.0,,8.0,24.0,2.0,0,8,73,5,1,1825.16
2.0,11.0,842.0,,39.0,24.0,1.0,0,3,88,64,1,932.64
4.0,4.0,99.0,,55.0,3.0,2.0,0,9,69,78,1,2219.64
2.0,26.0,541.0,,39.0,17.0,2.0,0,8,46,210,1,1004.14
2.0,52.0,905.0,,47.0,4.0,2.0,0,7,43,533,0,1790.64
3.0,7.0,1036.0,,36.0,18.0,1.0,0,6,78,12,1,6438.14
0.0,10.0,712.0,,48.0,3.0,2.0,0,1,24,1,1,2200.85
4.0,14.0,1000.0,,24.0,7.0,2.0,0,14,57,710,0,1504.64
4.0,14.0,465.0,,24.0,7.0,2.0,0,1,43,36,1,2005.14
1.0,17.0,1031.0,44.0,55.0,3.0,1.0,0,0,24,0,1,1433.14
3.0,33.0,699.0,,34.0,19.0,2.0,0,30,178,544,1,17982.34
2.0,21.0,1082.0,,61.0,21.0,2.0,0,6,72,0,1,4150.14
2.0,52.0,349.0,,47.0,1.0,2.0,0,1,15,117,1,1219.4
2.0,45.0,787.0,,66.0,12.0,1.0,0,5,25,642,0,646.64
2.0,21.0,428.0,,24.0,1.0,2.0,0,4,21,538,0,4485.71
2.0,21.0,685.0,,47.0,17.0,2.0,0,3,25,5,1,789.64
4.0,39.0,796.0,,33.0,3.0,2.0,0,4,50,725,0,4150.14
2.0,21.0,313.0,,39.0,13.0,2.0,0,5,42,350,1,1790.64
2.0,27.0,705.0,,8.0,11.0,2.0,0,4,21,2,1,1433.14
2.0,11.0,530.0,,66.0,9.0,2.0,0,8,45,470,0,805.43
4.0,14.0,289.0,,7.0,16.0,2.0,0,4,64,29,1,2720.14
2.0,52.0,428.0,,56.0,3.0,2.0,0,7,69,168,1,577.77
4.0,0.0,754.0,,24.0,3.0,2.0,0,18,54,378,0,2720.14
2.0,56.0,381.0,,8.0,1.0,2.0,0,1,19,5,1,1004.14
4.0,0.0,1000.0,,24.0,3.0,2.0,0,7,64,247,1,2877.44
